,,,,,,,,,,
SEZNAM MUŽSKÝCH JMEN,,,,,,,,,,
ALBERT,,BLAISE,,,,DERIAN,,EMAD,,
ALBERTO,,BLAŽEJ,,,,DERICK,,EMAN,,
ALBIN,,BOAZ,,,,DERIK,,EMANUEL,,
ALBÍN,,BOB,,,,DERRICK,,EMERICH,,
ALBRECHT,,BOBAN,,,,DESIDER,,EMIL,,
ALBUS,,BOBEŠ,,,,DESIDERIUS,,EMILIAN,,
ALDEBARAN,,BODHI,,,,DETLEF,,EMILIÁN,,
ALDENOR,,BOGAÇ,,,,DĚTMAR,,EMILIANO,,
ALDO,,BOGDAN,,,,DĚTŘICH,,ÉMILIEN,,
ALDOUS,,BOGUSŁAW,,,,DEV,,EMILIO,,
ALEC,,BOHDAN,,,,DEVALA,,EMÍLIO,,
ALEJANDRO,,BOHOUŠ,,,,DEVERELL,,EMIN,,
ALEK,,BOHUMIL,,,,DEVON,,EMIR,,
ALEKI,,BOHUMÍL,,,,DEXTER,,EMIRU,,
ALEKOS,,BOHUMÍR,,,,DEZIDER,,EMMANUEL,,
ALEKS,,BOHUSLAV,,,,DEZIDÉR,,EMMET,,
ALEKSA,,BOHUŠ,,,,DHANANJAYA,,EMMETT,,
ALEKSANDAR,,BOJISLAV,,,,DHARMAN,,ENDER,,
ALEKSANDER,,BOLEK,,,,DIEGO,,ENES,,
ALEKSANDR,,BOLESLAV,,,,DIETER,,ENGELBERT,,
ALEKSEJ,,BOLESŁAW,,,,DIETMAR,,ENIYAN,,
ALEKSI,,BONIFÁC,,,,DIGBY,,ENKI,,
ALEN,,BONO,,,,DIJON,,ENOCK,,
ALESSANDRO,,BOREK,,,,DILLAN,,ENOCH,,
ALESSIO,,BORIS,,,,DIMAŠ,,ENRICO,,
ALEŠ,,BORISLAV,,,,DIMITAR,,ENRIKO,,
ALEXANDAR,,BORJA,,,,DIMITR,,ENRIQUE,,
ALEXANDER,,BORNA,,,,DIMITRI,,ENVER,,
ALEXANDR,,BORYS,,,,DIMITRIJ,,ENZO,,
ALEXANDRO,,BOŘEK,,,,DIMITRIJE,,EPAFRAS,,
ALEXANDROS,,BOŘÍK,,,,DIMITRIOS,,ERAGON,,
ALEXANDRU,,BOŘISLAV,,,,DIMITRIS,,ERAN,,
ALEXEI,,BOŘIVOJ,,,,DIMO,,ERAZIM,,
ALEXEJ,,BOURAK,,,,DINO,,EREKLE,,
ALEXEY,,BOŽEJ,,,,DIO,,EREN,,
ALEXIOS,,BOŽEK,,,,DION,,EREZ,,
ALEXIUS,,BOŽETĚCH,,,,DIONIS,,ERGUN,,
ALFIE,,BOŽIDAR,,,,DIONÝZ,,ERHARD,,
ALFONS,,BOŽÍK,,,,DIRK,,ERHART,,
ALFONZ,,BOŽISLAV,,,,DITMAR,,ERIC,,
ALFRED,,BRADLEY,,,,DIVIŠ,,ERICK,,
ALFRÉD,,BRADY,,,,DJORDJE,,ERICH,,
ALFREDO,,BRAE,,,,DMITRI,,ERIK,,
ALGIERD,,BRAEN,,,,DMITRIJ,,ERKAN,,
ALÍ,,BRAHIM,,,,DMITRY,,ERKKI,,
ALIAKSANDR,,BRAIEN,,,,DMYTRIJ,,ERLIN,,
ALIEU,,BRANDON,,,,DMYTRO,,ERMIS,,
ALII,,BRANISLAV,,,,DOBROMIL,,ERNEST,,
ALIM,,BRANKO,,,,DOBROMÍR,,ERNESTO,,
ALJOŠA,,BRAYDEN,,,,DOBROMYSL,,ERNST,,
ALLAN,,BRAYEN,,,,DOBROSLAV,,EROL,,
ALLEN,,BRIAN,,,,DOČO,,EROS,,
ALLEX,,BRONĚK,,,,DOMENICO,,ERVIN,,
ALMEDIN,,BRONISLAV,,,,DOMINIC,,ERVÍN,,
ALMIR,,BRONISŁAW,,,,DOMINICK,,ERWIN,,
ALOIZ,,BRUCE,,,,DOMINIK,,ERYK,,
ALOJZ,,BRUNO,,,,DOMINÍK,,ESKIL,,
ALON,,BRYAN,,,,DONALD,,ESLAM,,
ALTAI,,BŘENĚK,,,,DONE,,ESTEBAN,,
ALTAY,,BŘETISLAV,,,,DONOVAN,,ETEM ,,
ÁLVARO,,BUBBA,,,,DOR,,ETHAN,,
ALVIN,,BUJTUR,,,,DORIÁN,,ETIEN,,
AMADOU,,BUL,,,,DORŽO,,ETIENNE,,
AMAEL,,BYSTRÍK,,,,DOTAN,,ÉTIENNE,,
AMAËL,,,,,,DRAGAN,,ETIOSA,,
AMAR,,,,,,DRAGOSLAV,,EUGEN,,
AMBRÓZ,,,,,,DRAGUTIN,,EUGENIO,,
AMBROŽ,,,,,,DRAHOMIL,,EUGENIU,,
AMEDEO,,,,,,DRAHOMÍR,,EUGENIUSZ,,
AMER,,,,,,DRAHOŇ,,EUSTACH,,
AMICHAI,,,,,,DRAHOSLAV,,EVALD,,
AMIN,,,,,,DRAHOŠ,,EVANGELOS,,
AMINE,,,,,,DRAHOTÍN,,EVGENIJ,,
AMIR,,,,,,DRAKPA,,EVGENIY,,
AMÍR,,,,,,DRAVEN,,EVGENY,,
ÁMIR,,,,,,DROR,,EVYATAR,,
AMITAI,,,,,,DU,,EVŽEN,,
AMJAD,,,,,,DUA,,EWALD,,
AMMAR,,,,,,DUC DUY,,EYAD,,
AMNON,,,,,,DUC MANH,,EYAL,,
AMOLEMO,,,,,,DULGUUN,,EYAZ,,
AMOS,,,,,,DUMITRU,,EYMEN,,
