SEZNAM ŽENSKÝCH JMEN,,,,,,,,,,
,,GRAŹYNA,,HILA,,,,ISABELA,,
,,GRAŽINA,,HILDA,,,,ISABELL,,
,,GRAŽYNA,,HILDEGARD,,,,ISABELLA,,
,,GRETA,,HILDEGARDA,,,,ISABELLE,,
,,GRÉTA,,HILDEGARDE,,,,ISARA,,
,,GRIZEL,,HILMA,,,,ISER,,
,,GUDRUN,,HIMARI,,,,ISHANI,,
,,GÜLBEYAZ,,HIND,,,,ISIDORA,,
,,GULNARA,,HOANG YEN,,,,ISKRA,,
,,GUSTA,,HONEY,,,,ISLA,,
,,GUSTAVA,,HONG VAN,,,,ISOLDA,,
,,GUZEL,,HUBERTA,,,,ISOLDE,,
,,GVENDOLÍNA,,HUONG,,,,ISORA,,
,,GWENDOLYN,,HUYEN,,,,ISRA,,
,,GYTA,,HVĚZDOSLAVA,,,,ISTER,,
,,,,HYACINTA,,,,ITA,,
,,,,,,,,IULIA,,
,,,,,,,,IULIANA,,
,,,,,,,,IVANA,,
,,,,,,,,IVANKA,,
,,,,,,,,IVÁNKA,,
,,,,,,,,IVANNA,,
,,,,,,,,IVETA,,
,,,,,,,,IVETTA,,
,,,,,,,,IVETTE,,
,,,,,,,,IVONA,,
,,,,,,,,IVONKA,,
,,,,,,,,IVONNA,,
,,,,,,,,IVONNE,,
,,,,,,,,IVUŠE,,
,,,,,,,,IVUŠKA,,
,,,,,,,,IVY,,
,,,,,,,,IWETTA,,
,,,,,,,,IWONA,,
,,,,,,,,IZA,,
,,,,,,,,IZABEL,,
,,,,,,,,IZABELA,,
,,,,,,,,IZABELL,,
,,,,,,,,IZABELLA,,
,,,,,,,,IZZA,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
