,,,,,,,,,,,,,,
SEZNAM RODOVĚ NEUTRÁLNÍCH JMEN,,,,,,,,,,,,,,
Jména F,,Jména G,,Jména H,,Jména CH,,Jména I,,"Pozn.: Jméno označené symbolem * obsahuje přepisovaný znak podle nařízení vlády č. 594/2006 Sb.,  o přepisu znaků do podoby, ve které se zobrazují v informačních systémech veřejné správy",,,,
FABIE,,GABI,,HA,,CHANDLER,,IB,,,,,,
FAHAMET,,GABRIEL,,HABEL,,CHANDRA,,IBRICH,,,,,,
FAITH,,GABRIELE,,HADAR,,CHANEL,,IBUKI,,,,,,
FALE,,GABY,,HAGA,,CHANTAL,,IBUKUN,,,,,,
FALKE,,GAEL,,HAGAR,,CHARIS ,,ICKE,,,,,,
FALL,,GAIKE,,HAGGAI,,CHARLEY,,IÇLI ,,,,,,
FÄNN,,GAIL,,HAI,,CHARLOT,,IDA,,,,,,
FANUS,,GAL,,HAIKE,,CHARLIE,,IDAN,,,,,,
FARE,,GALE,,HALE,,CHARLY,,IDE,,,,,,
FARÍD,,GAMÁL,,HALET,,CHAU,,IDEL,,,,,,
FATIN,,GARNET,,HALKE,,CHEL,,IDSKE,,,,,,
FÉ,,GAUDENCE,,HÂLL ,,CHELSEA,,IEKE,,,,,,
FEE,,GAUK,,HALLBUS,,CHEN,,IEMKE,,,,,,
FEHAMET,,GAUKE,,HALLY,,CHENG,,IES,,,,,,
FEI,,GAY,,HALVAR,,CHEYENNE,,IETE,,,,,,
FEIE,,GAZAL,,HALVARS,,CHI,,IETSJE,,,,,,
FEIGE,,GÉ,,HAMDI,,CHIAKI,,IEUKE,,,,,,
FEIKE,,GEBA,,HAMPUS,,CHIBUZOR ,,IFEMIDE,,,,,,
FELICE,,GEBBE,,HAN ,,CHIDERA,,IGE,,,,,,
FELIZ,,GEBKE,,HANA,,CHIGOZIE,,IHAB,,,,,,
FEMBE ,,GEEKE,,HANAN,,CHIHARU,,IHÁB,,,,,,
FEMI,,GEEL,,HANH,,CHIHIRO,,IHANTI,,,,,,
FEMME,,GEERD,,HANIA,,CHISATO,,IHSAN,,,,,,
FEN,,GEERKE,,HANIN,,CHLOÉ,,IHSÁN,,,,,,
FENG,,GEERTJE,,HANKE,,CHLORIS,,ICHIGO,,,,,,
FENN,,GEISEL,,HANNE,,CHORRAM,,ICHIKA,,,,,,
FENNEKE,,GEKE,,HANSES,,CHRIS,,ICHINO,,,,,,
FERDA,,GELI,,HANSI,,CHRISTEL,,IIKAJIPPAAT,,,,,,
FEUKE,,GENE,,HANSY,,CHRISTI,,IIKIITSOQ,,,,,,
FEZA,,GENIE,,HAPPY,,CHRISTIE,,IIKIITSU,,,,,,
FFRANSIS,,GENO,,HARD,,CHRISTY,,IIKKAJIPPAAT,,,,,,
FIDAN,,GEORGIA,,HARDI,,CHUC,,IIKKULUK,,,,,,
FIDELIS,,GEORGIE,,HARDY,,CHUN,,IINNGUAQ,,,,,,
FIEK,,GEPKE,,HARKE,,CHUNG,,IISIMMAAQ,,,,,,
FIETE,,GER,,HARLEY,,,,IJANGAATSEQ,,,,,,
FIETJE,,GERA,,HARLOWE,,,,IJLKE,,,,,,
FIKRET,,GERBERT,,HARPER,,,,IKE,,,,,,
FILA,,GERBRICH,,HARS,,,,IKIMALEQ,,,,,,
FILIPE,,GERD,,HART,,,,IKÍNGUT,,,,,,
FILSAN,,GERDE,,HARTEKE,,,,IKINNGUT,,,,,,
FINIAN,,GERDI,,HARU,,,,IKISOQ,,,,,,
FINLAY,,GERÉBERN,,HARUA,,,,IKRAAM,,,,,,
FINLEY,,GEREKE,,HARUHI,,,,IKRAM,,,,,,
FINN,,GERIKA,,HARUI,,,,ILAATSOQ,,,,,,
FINNE,,GERIT,,HARUKA,,,,ILAATSUK,,,,,,
FINS,,GERKE,,HARUKI,,,,ILAATSUNNGUAQ,,,,,,
