SEZNAM MUŽSKÝCH JMEN,,,,,,,,,,
JESUS,,KLEO,,LJUBOMYR,,MASON,,NIKOLAS,,
JEŠUA,,KLIMENT,,LLOYD,,MASSA,,NIKOLAUS,,
JEŠÚA,,KOJI,,LLUC,,MASSIMILIANO,,NIKOLAY,,
JÉŠUA,,KOLMAN,,LOGI,,MASSIMO,,NIKOLAZ,,
JEVGENIJ,,KOLOMAN,,LONG,,MAT,,NIKOS,,
JEVHEN,,KONIÁŠ,,LONGIN,,MATAN,,NILS,,
JEVHENIJ,,KONRAD,,LORÁNT,,MATEAS,,NIMAI,,
JIDENNA,,KONRÁD,,LÓRÁNT,,MATEI,,NIMROD,,
JIFTACH,,KONSTANTIN,,LORCAN,,MATEJ,,NIO,,
JILJÍ,,KONSTANTINOS,,LORD,,MATĚJ,,NIR,,
JIM,,KONSTANTINS,,LORENC,,MATEJA,,NITAI,,
JIMI,,KONŠTANTÍN,,LORENZ,,MATEO,,NIV,,
JIMMY,,KORNEL,,LORENZO,,MATES,,NIZAR,,
JINDŘICH,,KORNELIUS,,LOTAR,,MATEUS,,NOE,,
JIŘÍ,,KOSMAS,,LOTHAR,,MATEUSZ,,NOÉ,,
JIŘÍK,,KOSMO,,LOVRO,,MATEUŠ,,NOELL,,
JIYONG,,KOSTA,,LUAN,,MATHEO,,NOHR,,
JOACHIM,,KOSTADIN,,LUBISLAV,,MATHÉO,,NOLAN,,
JOAKIM,,KOSŤANTYN,,LUBOMIL,,MATHEOS,,NORBERT,,
JOANNIS,,KOSTAS,,LUBOMIR,,MATHEUS,,NORMAN,,
JOAO,,KOSTIANTYN,,LUBOMÍR,,MATHEW,,NORTAN,,
JOASH,,KOU,,ĽUBOMÍR,,MATHIAN,,NOVEL,,
JÓAŠ,,KRASIMIR,,LUBOR,,MATHIAS,,NUGROHO,,
JOEL,,KRASOŇ,,ĽUBOR,,MATHIEU,,NUKA,,
JOËL,,KRASOSLAV,,LUBOSLAV,,MATHIS,,NURADIL,,
JÓEL,,KRIST,,ĽUBOSLAV,,MATHYAS,,NURDAULET,,
JOEY,,KRISTIÁN,,LUBOŠ,,MATHYS,,NYAN,,
JOHANN,,KRISTIEN,,ĽUBOŠ,,MATIA,,,,
JOHANNES,,KRISTIJAN,,LUBUTO,,MATIAS,,,,
JOHN,,KRISTOF,,LUCAS,,MATÍAS,,,,
JOHNATHAN,,KRISTOFER,,LUCCA,,MATIÁŠ,,,,
JOJI,,KRISTOPHER,,LUCIÁN,,MATISSE,,,,
JOKUM,,KRISTYÁN,,LUCIANO,,MATITYAHU,,,,
JOLAN,,KRIŠTOF,,LUCIENE,,MATIU,,,,
JONAH,,KRUNOSLAV,,LUCIUS,,MATOUŠ,,,,
JONÁŠ,,KRYSTIAN,,LUCJAN,,MATT,,,,
JONATAN,,KRYSTIÁN,,LUDĚK,,MATTEO,,,,
JONATÁN,,KRYSTOF,,LUDEVIT,,MATTÉO,,,,
JONATHAN,,KRYŠPÍN,,LUDEVÍT,,MATTHEO,,,,
JOPPE,,KRYŠTOF,,ĽUDEVIT,,MATTHEW,,,,
JORDÁN,,KRZYSZTOF,,ĽUDEVÍT,,MATTHIAS,,,,
JORDANIS,,KŘESOMÍR,,LUDOMÍR,,MATTHIEU,,,,
JORDI,,KŘESOMYSL,,LUDOVIT,,MATTIAS,,,,
JÖRG,,KŘEŠIMÍR,,LUDOVÍT,,MATTY,,,,
JORGE,,KŘIŠŤAN,,ĽUDOVIT,,MATUŠ,,,,
JORGOS,,KUBA,,ĽUDOVÍT,,MATÚŠ,,,,
JORIK,,KURT,,LUDVIK,,MATVEJ,,,,
JORIS,,KVĚTOMÍR,,LUDVÍK,,MATVĚJ,,,,
JOSE,,KVETOSLAV,,LUDWIG,,MATVEY,,,,
JOSEF,,KVĚTOSLAV,,LUI,,MATYAS,,,,
JOSEPH,,KVĚTOŠ,,LUIGI,,MÁTYÁS,,,,
JOSH,,KVIDO,,LUIS,,MATYÁŠ,,,,
JOSHUA,,KVÍDO,,LUKÁČ,,MAUI,,,,
JOSHUAH,,KVIRIN,,LUKAS,,MAURICIO,,,,
JOSIAS,,KVIRÍN,,ŁUKASZ,,MAURIZIO,,,,
JOSIP,,KYLIAN,,LUKÁŠ,,MAURO,,,,
JOSKA,,KYLIÁN,,LUKE,,MAVERICK,,,,
JOŠT,,KYPRIAN,,LUKEN,,MAXIAN,,,,
JOTARO,,KYRIAKOS,,LUKIJAN,,MAXIÁN,,,,
JOVAN,,KYRYLO,,LUKKA,,MAXIM,,,,
JOVICA,,,,LUKY,,MAXIMILIAN,,,,
JOZEF,,,,LUMÍR,,MAXIMILIÁN,,,,
JÓZEF,,,,LUNGA,,MAXIMILIANO,,,,
JUAN,,,,LUTANDA,,MAXIMILIEN,,,,
JUDAH,,,,LUTOBOR,,MAXIMILLIAN,,,,
JUDE,,,,LYAM,,MAXIMO,,,,
JUG,,,,LYAN,,MÁXIMO,,,,
JÚKI,,,,LYES,,MAXIMOS,,,,
JULIAN,,,,LYO,,MAXIMUS,,,,
JULIÁN,,,,LYON,,MAXMILIAN,,,,
JULIANO,,,,,,MAXMILIÁN,,,,
JULIJ,,,,,,MAXMILLIAN,,,,
JULIJAN,,,,,,MAXWELL,,,,
JULIO,,,,,,MAYO,,,,
JULIUS,,,,,,MAYSON,,,,
JÚLIUS,,,,,,MAZEN,,,,
JURAJ,,,,,,MEČISLAV,,,,
JURÁŠ,,,,,,MĚČISLAV,,,,
JÜRGEN,,,,,,MEDAN,,,,
JŰRGEN,,,,,,MEDARD,,,,
JURI,,,,,,MEHDI,,,,
